WAR;START;END
chinese civil war;1927;present
Xinjiang;1931;present
Chinese Civil War;1944;1949
Iran crisis of 1946;1945;1946
First Indochina War;1946;1954
Paraguayan Civil War;1947;1947
myanmar;1948;present
israeli palestinian;1948;present
Malayan Emergency;1948;1960
Korean War;1950;1953
Mau Mau Uprising;1952;1960
Second Indochina War (Vietnam War) ;1953;1975
First Taiwan Strait Crisis;1954;1955
Algerian War;1954;1962
Suez Crisis;1956;1957
Second Taiwan Strait Crisis;1958;1958
Lebanon crisis;1958;1958
 Tibetan uprising;1959;1962
Central American crisis;1960;1996
Congo Crisis;1960;1965
North Yemen Civil War;1962;1970
Dhofar Rebellion;1962;1976
Sarawak Communist Insurgency;1962;1990
northeast india ;1963;present
Aden Emergency;1963;1967
Chadian Civil War;1965;1979
Communist insurgency in Thailand;1965;1983
Bolivian Campaign;1966;1967
Korean DMZ Conflict;1966;1969
South African Border War;1966;1990
Years of Lead;1968;1982
Communist insurgency in Malaysia;1968;1989
civil phillipines;1969;present
Al-Wadiah War;1969;1969
Bangladesh Liberation War;1971;1971
Yemenite War of ;1972;1972
Eritrean War of Independence;1974;1991
Angolan Civil War;1974;2002
Ethiopian Civil War;1974;1991
cabinda war;1975;present
Insurgency in Laos;1975;2008
Indonesian occupation of East Timor;1975;1999
Western Sahara War;1975;1991
Indonesian occupation of East Timor;1975;1999
turkey civil war;1976;present
Shaba I;1977;1977
Ogaden War;1977;1978
Cambodian-Vietnamese War;1977;1991
Mozambican Civil War;1977;1992
Shaba II;1978;1978
NDF Rebellion;1978;1982
Chadian–Libyan conflict;1978;1987
iran arabia;1979;present
Yemenite War ;1979;1979
Soviet–Afghan War;1979;1989
Sino-Vietnamese War;1979;1979
Thai–Laotian Border War;1987;1988
nagorno karabach;1988;present
Jammu kashmir;1989;present
georgian ossetian;1989;present
abkhaz gerogian;1989;present
Afghan Civil War;1989;1992
Yugoslav Wars;1991;2001
Georgian Civil War;1991;1993
Yugoslav Wars;1991;2001
Tajikistani Civil War;1992;1997
Nepalese Civil War;1996;2006
First Congo War;1996;1997
First Ivorian Civil War;2002;2007
darfur war;2003;present
yemen crisis;2011;present
syrian civil war;2011;present
Iraqi insurgency;2011;2014
Syrian Civil War Lebanon;2012;2017
ukraine;2014;present
second lybian war;2014;2020
